Ticker,Year,Industry,index,Close,Open,High,Low,Volume,Month,Day,Company,Daily_range,Net_change,Percentage_change,Log_Close,Log_Daily_range,Winsorized_Close,Winsorized_Daily_range,Forecast_Close_Automotive,Forecast_Close_E-commerce,Forecast_Close_Entertainment,Forecast_Close_Finance,Forecast_Close_Healthcare,Forecast_Close_Retail,Forecast_Close_Semiconductors,Forecast_Close_Technology,Forecast_Close_Telecommunications
AAPL,2021,Technology,71,131.96,133.52,145.09,126.38,2236654333,1,1,APPLE INC.,18.71,-1.56,-1.16836429,4.890048331,2.981126121,131.96,18.71,,,,,,,,,
AAPL,2021,Technology,73,122.15,123.75,128.72,116.21,2650845211,3,1,APPLE INC.,12.51,-1.6,-1.292929293,4.813403125,2.603430152,122.15,12.51,,,,,,,,,
AAPL,2021,Technology,74,131.46,123.66,137.07,122.49,1889669721,4,1,APPLE INC.,14.58,7.8,6.307617661,4.886280713,2.74598804,131.46,14.58,,,,,,,,,
AAPL,2021,Technology,78,151.83,146.36,153.49,144.5,1463302097,8,1,APPLE INC.,8.99,5.47,3.737359934,5.029326193,2.301584593,151.83,8.99,,,,,,,,,
AAPL,2021,Technology,80,149.8,141.9,153.17,138.27,1565079040,10,1,APPLE INC.,14.9,7.9,5.567300916,5.015954456,2.766319109,149.8,14.9,,,,,,,,,
AAPL,2022,Technology,90,157.22,161.01,176.15,157.14,1510324936,8,1,APPLE INC.,19.01,-3.79,-2.353891063,5.06398647,2.996232149,157.22,19.01,,,,,,,,,
AAPL,2023,Technology,96,147.41,143.97,157.38,141.32,1307294493,2,1,APPLE INC.,16.06,3.44,2.389386678,4.999978714,2.836736542,147.41,16.06,,,,,,,,,
AAPL,2023,Technology,98,169.68,164.27,169.85,159.78,969776368,4,1,APPLE INC.,10.07,5.41,3.293358495,5.139790458,2.404238747,169.68,10.07,,,,,,,,,
AAPL,2023,Technology,99,177.25,169.28,179.35,164.31,1275364523,5,1,APPLE INC.,15.04,7.97,4.708175803,5.183187059,2.775085602,177.25,15.04,,,,,,,,,
AAPL,2023,Technology,101,196.45,193.78,198.23,186.6,996368613,7,1,APPLE INC.,11.63,2.67,1.377851171,5.285485388,2.536074936,196.45,11.63,,,,,,,,,
AAPL,2023,Technology,104,170.77,171.22,182.34,165.67,1172845791,10,1,APPLE INC.,16.67,-0.45,-0.262819764,5.146156373,2.871868286,170.77,16.67,,,,,,,,,
AAPL,2023,Technology,106,192.53,190.33,199.62,187.45,1063181128,12,1,APPLE INC.,12.17,2.2,1.155887143,5.265432539,2.577941516,192.53,12.17,,,,,,,,,
AAPL,2024,Technology,107,184.4,187.15,196.38,180.17,1187490645,1,1,APPLE INC.,16.21,-2.75,-1.469409565,5.222515653,2.84549061,184.4,16.21,,,,,,,,,
AAPL,2024,Technology,108,180.75,183.99,191.05,179.25,1161711745,2,1,APPLE INC.,11.8,-3.24,-1.76096527,5.202632116,2.549445171,180.75,11.8,,,,,,,,,
AAPL,2024,Technology,110,170.33,171.19,178.36,164.08,1246221542,4,1,APPLE INC.,14.28,-0.86,-0.502365792,5.143591521,2.726544784,170.33,14.28,,,,,,,,,
AAPL,2024,Technology,115,233,228.55,233.09,213.92,1232391861,9,1,APPLE INC.,19.17,4.45,1.947057537,5.455321115,3.004196352,233,19.17,,,,,,,,,
AAPL,2024,Technology,116,225.91,229.52,237.49,221.33,930835961,10,1,APPLE INC.,16.16,-3.61,-1.572847682,5.424553463,2.842581094,225.91,16.16,,,,,,,,,
NVDA,2015,Semiconductors,120,0.55,0.48,0.56,0.47,4193578200,2,1,NVIDIA CORPORATION,0.09,0.07,14.58333333,0.438254931,0.086177696,5.18,0.63,,,,,,,,,
NVDA,2015,Semiconductors,121,0.52,0.55,0.59,0.51,7310479680,3,1,NVIDIA CORPORATION,0.08,-0.03,-5.454545455,0.418710335,0.076961041,5.18,0.63,,,,,,,,,
NVDA,2015,Semiconductors,122,0.55,0.53,0.57,0.52,5673643360,4,1,NVIDIA CORPORATION,0.05,0.02,3.773584906,0.438254931,0.048790164,5.18,0.63,,,,,,,,,
NVDA,2015,Semiconductors,123,0.55,0.56,0.57,0.51,7081353080,5,1,NVIDIA CORPORATION,0.06,-0.01,-1.785714286,0.438254931,0.058268908,5.18,0.63,,,,,,,,,
NVDA,2015,Semiconductors,124,0.5,0.56,0.57,0.5,7333831120,6,1,NVIDIA CORPORATION,0.07,-0.06,-10.71428571,0.405465108,0.067658648,5.18,0.63,,,,,,,,,
NVDA,2015,Semiconductors,125,0.5,0.52,0.52,0.48,5480512280,7,1,NVIDIA CORPORATION,0.04,-0.02,-3.846153846,0.405465108,0.039220713,5.18,0.63,,,,,,,,,
NVDA,2015,Semiconductors,126,0.56,0.5,0.6,0.5,9469550160,8,1,NVIDIA CORPORATION,0.1,0.06,12,0.444685821,0.09531018,5.18,0.63,,,,,,,,,
NVDA,2015,Semiconductors,127,0.62,0.55,0.62,0.54,6480278880,9,1,NVIDIA CORPORATION,0.08,0.07,12.72727273,0.482426149,0.076961041,5.18,0.63,,,,,,,,,
NVDA,2015,Semiconductors,128,0.71,0.62,0.72,0.59,8053960520,10,1,NVIDIA CORPORATION,0.13,0.09,14.51612903,0.536493371,0.122217633,5.18,0.63,,,,,,,,,
NVDA,2015,Semiconductors,129,0.79,0.71,0.8,0.69,7345053520,11,1,NVIDIA CORPORATION,0.11,0.08,11.26760563,0.58221562,0.104360015,5.18,0.63,,,,,,,,,
NVDA,2015,Semiconductors,130,0.82,0.8,0.85,0.8,5625770200,12,1,NVIDIA CORPORATION,0.05,0.02,2.5,0.598836501,0.048790164,5.18,0.63,,,,,,,,,
NVDA,2016,Semiconductors,131,0.73,0.81,0.84,0.66,8139052520,1,1,NVIDIA CORPORATION,0.18,-0.08,-9.87654321,0.548121409,0.165514438,5.18,0.63,,,,,,,,,
NVDA,2016,Semiconductors,132,0.78,0.73,0.8,0.62,9000045360,2,1,NVIDIA CORPORATION,0.18,0.05,6.849315068,0.576613364,0.165514438,5.18,0.63,,,,,,,,,
NVDA,2016,Semiconductors,133,0.89,0.79,0.91,0.78,6578177560,3,1,NVIDIA CORPORATION,0.13,0.1,12.65822785,0.636576829,0.122217633,5.18,0.63,,,,,,,,,
NVDA,2016,Semiconductors,134,0.89,0.89,0.94,0.87,6734272160,4,1,NVIDIA CORPORATION,0.07,0,0,0.636576829,0.067658648,5.18,0.63,,,,,,,,,
NVDA,2016,Semiconductors,136,1.18,1.16,1.21,1.11,8199150240,6,1,NVIDIA CORPORATION,0.1,0.02,1.724137931,0.779324877,0.09531018,5.18,0.63,,,,,,,,,
NVDA,2016,Semiconductors,138,1.53,1.43,1.59,1.39,9305120960,8,1,NVIDIA CORPORATION,0.2,0.1,6.993006993,0.928219303,0.182321557,5.18,0.63,,,,,,,,,
NVDA,2016,Semiconductors,139,1.71,1.53,1.73,1.43,8665767400,9,1,NVIDIA CORPORATION,0.3,0.18,11.76470588,0.996948635,0.262364264,5.18,0.63,,,,,,,,,
NVDA,2016,Semiconductors,140,1.78,1.71,1.82,1.59,6551562040,10,1,NVIDIA CORPORATION,0.23,0.07,4.093567251,1.022450928,0.207014169,5.18,0.63,,,,,,,,,
NVDA,2016,Semiconductors,142,2.67,2.3,3,2.12,18082225200,12,1,NVIDIA CORPORATION,0.88,0.37,16.08695652,1.300191662,0.631271777,5.18,0.88,,,,,,,,,
NVDA,2017,Semiconductors,143,2.73,2.61,2.8,2.48,13397455400,1,1,NVIDIA CORPORATION,0.32,0.12,4.597701149,1.316408234,0.277631737,5.18,0.63,,,,,,,,,
NVDA,2017,Semiconductors,144,2.54,2.76,3.02,2.39,14206783600,2,1,NVIDIA CORPORATION,0.63,-0.22,-7.971014493,1.264126727,0.488580015,5.18,0.63,,,,,,,,,
NVDA,2017,Semiconductors,145,2.72,2.59,2.75,2.38,14289724760,3,1,NVIDIA CORPORATION,0.37,0.13,5.019305019,1.313723668,0.31481074,5.18,0.63,,,,,,,,,
NVDA,2017,Semiconductors,146,2.61,2.72,2.74,2.39,9572569600,4,1,NVIDIA CORPORATION,0.35,-0.11,-4.044117647,1.283707772,0.300104592,5.18,0.63,,,,,,,,,
NVDA,2017,Semiconductors,148,3.61,3.62,4.21,3.55,23445522360,6,1,NVIDIA CORPORATION,0.66,-0.01,-0.276243094,1.528227857,0.506817602,5.18,0.66,,,,,,,,,
NVDA,2017,Semiconductors,149,4.06,3.63,4.25,3.46,15491016400,7,1,NVIDIA CORPORATION,0.79,0.43,11.84573003,1.621366483,0.58221562,5.18,0.79,,,,,,,,,
